"elapsedMs","tick","selectedName","region","position","body","legacyActivity","motionIntent","resolvedVelocity","resolution","constraint","cognitionQueue"
"9210","33","Janek","workshop","1947, 736","moving","idle","90.0","90.0","full","—","0"
"9471","47","Janek","workshop","1967, 742","moving","idle","90.0","90.0","full","—","0"
"9746","61","Janek","workshop","1987, 749","moving","idle","90.0","90.0","full","—","0"
"10005","68","Janek","workshop","1997, 752","moving","idle","90.0","90.0","full","—","0"
"10258","82","Janek","workshop","2017, 759","moving","idle","90.0","90.0","full","—","0"
"10512","96","Janek","workshop","2037, 766","moving","idle","90.0","90.0","full","—","0"
"10796","103","Janek","workshop","2047, 769","moving","idle","90.0","90.0","full","—","0"
"11059","117","Mira","hearth","930, 715","moving","travel","95.0","95.0","full","—","2"
"11330","136","Mira","hearth","958, 725","moving","travel","95.0","95.0","full","—","2"
"11584","150","Janek","workshop","2113, 791","moving","idle","90.0","90.0","full","—","0"
"11864","163","Janek","workshop","2132, 797","moving","idle","90.0","90.0","full","—","0"
"12126","183","Janek","workshop","2160, 807","moving","idle","90.0","90.0","full","—","0"
"12394","196","Janek","workshop","2179, 813","moving","idle","90.0","90.0","full","—","0"
"12651","211","Janek","workshop","2200, 820","moving","idle","90.0","90.0","full","—","0"
"12910","230","Janek","workshop","2227, 829","moving","idle","90.0","90.0","full","—","0"
"13162","242","Janek","workshop","2244, 835","moving","idle","90.0","90.0","full","—","0"
"13425","263","Janek","workshop","2274, 845","moving","idle","90.0","90.0","full","—","0"
"13688","275","Janek","workshop","2291, 850","moving","idle","90.0","90.0","full","—","0"
"13950","293","Janek","workshop","2317, 859","moving","idle","90.0","90.0","full","—","0"
"14218","306","Janek","workshop","2335, 865","moving","idle","90.0","90.0","full","—","0"
"14484","325","Janek","workshop","2362, 874","moving","idle","90.0","90.0","full","—","0"
"14749","338","Janek","workshop","2381, 880","moving","idle","90.0","90.0","full","—","0"
"15020","356","Janek","workshop","2407, 889","moving","idle","90.0","90.0","full","—","0"
"15285","370","Janek","workshop","2427, 896","moving","idle","90.0","90.0","full","—","0"
"15548","389","Janek","workshop","2454, 905","moving","idle","90.0","90.0","full","—","0"
"15813","401","Janek","workshop","2471, 910","moving","idle","90.0","90.0","full","—","0"
"16077","420","Janek","workshop","2498, 919","moving","idle","90.0","90.0","full","—","0"
"16347","439","Janek","workshop","2525, 928","moving","idle","90.0","90.0","full","—","0"
"16621","451","Janek","workshop","2542, 934","moving","idle","90.0","90.0","full","—","0"
"16877","464","Janek","workshop","2560, 940","moving","idle","90.0","90.0","full","—","0"
"17136","485","Janek","workshop","2590, 950","moving","idle","90.0","90.0","full","—","0"
"17396","497","Janek","workshop","2607, 956","moving","idle","90.0","90.0","full","—","0"
"17653","517","Janek","workshop","2636, 965","moving","idle","90.0","90.0","full","—","0"
"17913","531","Janek","workshop","2656, 972","moving","idle","90.0","90.0","full","—","0"
"18169","544","Janek","workshop","2674, 978","moving","idle","90.0","90.0","full","—","0"
"18428","557","Janek","workshop","2693, 984","moving","idle","90.0","90.0","full","—","0"
"18690","577","Janek","crossroads","2721, 994","moving","idle","90.0","90.0","full","—","1"
"18944","589","Janek","crossroads","2738, 999","moving","idle","90.0","90.0","full","—","1"
"19213","608","Janek","crossroads","2765, 1008","moving","idle","90.0","90.0","full","—","1"
"19470","621","Janek","crossroads","2784, 1015","moving","idle","90.0","90.0","full","—","1"
"19738","640","Janek","crossroads","2811, 1024","moving","idle","90.0","90.0","full","—","1"
"20010","652","Janek","crossroads","2828, 1029","moving","idle","90.0","90.0","full","—","1"
"20270","672","Janek","crossroads","2856, 1039","moving","idle","90.0","90.0","full","—","1"
"20526","684","Janek","crossroads","2873, 1044","moving","idle","90.0","90.0","full","—","1"
"20781","703","Janek","crossroads","2900, 1053","moving","idle","90.0","90.0","full","—","1"
"21040","716","Janek","crossroads","2919, 1060","moving","idle","90.0","90.0","full","—","1"
"21303","730","Janek","crossroads","2927, 1062","still","idle","0.0","0.0","full","—","1"
"21573","750","Janek","crossroads","2927, 1062","still","idle","0.0","0.0","full","—","1"
"21837","764","Janek","crossroads","2927, 1062","still","idle","0.0","0.0","full","—","1"
"22090","781","Janek","crossroads","2927, 1062","still","idle","0.0","0.0","full","—","1"
"22369","790","Janek","crossroads","2927, 1062","still","idle","0.0","0.0","full","—","1"
"22644","812","Janek","crossroads","2927, 1062","still","idle","0.0","0.0","full","—","1"
